"","HK1001","HK1002","HK1003","HK1004","HK1005","HK1006","HK1008","HK1009","HK1012","HK1013","HK1014","HK1015","HK1016","HK1017","HK1018","HK1019","HK1020","HK1022","HK1024","HK1026","HK1027","HK1028","HK1029","HK1030","HK1032","HK1036","HK1037","HK1038","HK1039","HK1041","HK1043","HK1044","HK1045","HK1047","HK1048","HK1052","HK1053","HK1054","HK1055","HK1056","HK1057","HK1058","HK1059","HK1060","HK1061","HK1063","HK1064","HK1065","HK1066","HK1068","HK1069","HK1070","HK1071","HK1072","HK1074","HK1077","HK1078","HK1079","HK1081","HK1083","HK1085","HK1086","HK1087","HK1088","HK1092","HK1093","HK1094","HK1095","HK1098","HK1101","HK1102","HK1104","HK1105","HK1106","CD001","CD002","CD003","CD004","CD005","CD006","CD007","CD008","CD009","CD010","CD011","CD012","CD013","CD014","CD015","CD016","CD017","CD018","CD019","CD020","CD021","CD022","CD023","CD024","CD025","CD026","CD028","CD029","CD030","CD031","CD032","CD033","CD034","CD035","CD036","CD037","CD038","CD039","CD040","CD041","CD042","CD043","CD044","CD045","CD046","CD047","CD048","CD049","CD050","CD051","CD052","CD053","CD054","CD055","CD056","CD057","CD059","CD060","CD061","CD062","CD063","CD064","CD065","CD066","CD067","CD068","CD069","CD070","CD071","CD072","CD073","CD074","CD075","CD076","CD078","CD079","CD080","CD081","CD082","CD083","CD084","CD085","CD086","CD087","CD088","CD089","CD090","CD091","CD092","CD093","CD094","CD095","CD096","CD097","CD098","CD099","CD100","CD101","CD102","CD103","CD105","CD106","CD107","CD108","CD109","CD112","CD113","CD114","CD115","CD116","CD118","CD119","CD120","CD121","CD122","CD123","CD124","CD125","CD126","CD127","CD128","CD129","CD130","CD131","CD132","CD133","CD134","CD135","CD136","CD137","CD138","CD139","CD140","CD141","CD142","CD143","CD144","CD145","CD146","CD147","CD151","CD153","CD154","CD155","CD156","CD157","CD158","CD159","CD161","CD162","CD163","CD164","CD167","CD168","CD169","CD171","CD172","CD173","CD174","CD175","CD180","CD181","CD182","CD183","CD184","ACC0147","ACC0163","ACC0048","ACC0102","ACC0034","ACC0138","ACC0096","ACC0049","MiRES012","ACC0080","ACC0032","ACC0108","ACC0097","MiRES005","ACC0265","ACC0110","ACC0192","ACC0013","ACC0114","ACC0136","MiRES011","ACC0169","MiRES003","ACC0135","ACC0066","MiRES009","MiREL020","MIRES007","ACC0009","ACC0031","MiRES004"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000995549470353048,0,0,0,0,0,0,5.07907542510251e-05,0,0,0,0,0,0,0,0.00236712562149458,0,0,0,0,5.34469966170466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000732874291925224,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62473000540398e-05,0,0.000334033376466708,0.00019457362588371,0,0,0,0,0.000140675245214819,8.08752733549576e-06,0,0,0,0.000150875757150445,0,0,0.00365998555321696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251153214020518,0.0017115762552261,0,0,0,0.000184085963757171,0.00497439981612124,0.00181858759195338,0,0,8.33623229901166e-05,0.000737728940545331,0,0,0,0.000443861414975278,6.33670442427717e-05,0,0.000172541893934639,0,0.000153342811153808,0,0,0,0.00238749365739413,0,0,0.000159953903527816,0,0.00148948198745144,0.0033242205652385,0,0,5.97593651158665e-05,2.10938354089116e-05,0,0.00495572949055745,0,0,0,0.00029233793502515,0.000998328294927099,0,0,0.00302478197849566,0,0,0,0,0.00918169575357646,0,0,0.00101031888983586,0,0,0,0,0,0,5.37949777885391e-05,0,0,0,0,0,0,0,0.000729156520480211,0,0,0,0.00213236926444586,0.00183597182939111,0,0,0,0,0.00046565991002128,0.00205428680937362,0,0.00541655949249307,0,0.00826656499786718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",0,0,0,0,0,0,6.20932775446048e-05,0,0,0,0,0.00109986038485103,0.000387293297427439,0,0,0.000586523412876699,0,0.000441232488532953,0.000352043720337677,0,0,0.00278932777866207,0,0,0,0.000797689677732466,0,0,0,0,0,0,0,0,0,3.31625748801773e-05,0,0.000493412236718113,0.000156996769334224,0.000556874585831747,8.27099666311357e-06,0,0.00850424348798564,0.000222284711256811,0,0,0,0,0,0.000290760246020059,0.00076638298583816,0,0.000777678932161979,0.000270479094948162,0.00177240851129873,0,0,0,0.00121899937226869,0,0,0,0.000169677163995975,0,0.00139335829535924,0.000597998894624339,0,0,0,0,6.59197142542397e-05,0,0,0.000119130074129656,0,0.000285255498078258,0.000413124271254993,0,0,0,0,0,0,0,0,0,0,0,0.0033059819890595,0,0.000158076834876329,0,0,0,6.23338982400608e-05,4.93440307802205e-05,0.000296351858191781,0,0,0,0,0.000107518322991638,0,0,0,0,0,0,0.00108933296736774,0,0,0,0.00425155802855288,0,0,0,0,0,0.00323803095858669,0,0,0,0.000889794112677343,0,0,0,0,0,0.000230502392645707,0,0,0,0,0,0,0.000381725031679022,0.00288443732792998,0.00257889915384138,0,0.00125995008039139,0,0,0,0,0,0,0,0,0,0,0,1.2093719618289e-05,0.000472530630258797,0,0.000407730163757833,0,0,0,0,0,0,0,0.000200082839079828,0,0,0.00224486315156948,0,0.000202098888388769,0.000371242428616065,0,0.00051469960877059,0.000648247112550113,0,0,0,0,0,0,0,8.97979453908292e-05,0,0,0,0,0,0,0,0.00354756603614571,0,0.000573626079891932,0,0,0.000430659108883409,0,0.00113734351005942,0,0,0,0,0,0,0.000671799010738107,0,0,0,0,0,0.00143948694282082,7.17103548839773e-05,0,0,0,0,0.00015101434768084,0.00536659972797261,0.00214205057261319,0.000219026615581983,0,0.000354747767510177,0,0,0,0,0,0,0,0,0,0.000523150479878357,0,0,7.27794215860886e-05,0,0.00177973931143763,0,0,0,0,0,0.000255603496889232,0.000223384820577685,0,0,0,0.00031791108815326,0.000272361149129083,0,0,0.00152795276920543,0,0.000397484689071062,5.75349813787147e-05,0,0,9.7890390753506e-05,0,0,0,0,0.000389321913694741,0,0,0,0.00296820034699341,0,0,0,0,0.00347594896446643,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans",0.00160158250795968,0,0,0.00463773011962191,4.77130848212993e-05,0,1.17106911219822e-05,0.00272931182745872,0,0,0,0.000265846968666482,0.000236649156131004,0,0,0,8.39495617295536e-05,1.3749577094847e-05,0.000792212074470407,0,0.00107513019077461,0,0,5.44962151178097e-05,0,0,0,0,0.000679816447250538,0,0,0,0,0.000220751213237576,0,0.0040486881187351,0,0,0,0.00442075515574419,0.000887345227855512,0.00461599640768686,0.00101544067750288,0.00201941946157981,0,5.68779676639427e-05,0.00114039018826064,0,0.000177195366963835,0,0,0.000749933535116282,0,0,4.53504266566259e-07,0,0,1.68211736703806e-05,0,0,0,0,0,0,0.000219892306592244,7.50061877945679e-06,0.000578517240391059,0,0,0,0,0,0.00211143736925157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000541023179981541,0.000310270592075512,0,0.00252092311128322,2.76530168445296e-05,0.0032497745134092,0,0,0,0,0,0,0,0.000103845050087084,0.000117185323229535,0,0,0,0,0,0,0,0.000296788176152399,0,0,0.000188091388595714,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans|t__SGB4262",0.00160158250795968,0,0,0.00463773011962191,4.77130848212993e-05,0,1.17106911219822e-05,0.00272931182745872,0,0,0,0.000265846968666482,0.000236649156131004,0,0,0,8.39495617295536e-05,1.3749577094847e-05,0.000792212074470407,0,0.00107513019077461,0,0,5.44962151178097e-05,0,0,0,0,0.000679816447250538,0,0,0,0,0.000220751213237576,0,0.0040486881187351,0,0,0,0.00442075515574419,0.000887345227855512,0.00461599640768686,0.00101544067750288,0.00201941946157981,0,5.68779676639427e-05,0.00114039018826064,0,0.000177195366963835,0,0,0.000749933535116282,0,0,4.53504266566259e-07,0,0,1.68211736703806e-05,0,0,0,0,0,0,0.000219892306592244,7.50061877945679e-06,0.000578517240391059,0,0,0,0,0,0.00211143736925157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000541023179981541,0.000310270592075512,0,0.00252092311128322,2.76530168445296e-05,0.0032497745134092,0,0,0,0,0,0,0,0.000103845050087084,0.000117185323229535,0,0,0,0,0,0,0,0.000296788176152399,0,0,0.000188091388595714,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_farciminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120555347337195,0,0,0,0,0.00239371361647226,0,0.00115201931285919,0,0,0,0,0,0,0,0,0,5.62296055035873e-05,0,0,0,0.00186710490432763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18501990851783e-05,0,0,0,0,0.00145540301993815,0,0,0,0,3.93811801191811e-06,0,0,0,3.15257702546708e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205379099304294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus",0,0,0,0,0,0,0,0,1.55634624103473e-05,1.31581604793469e-06,0,8.1642610811881e-05,0,0,0,0,0,0,0,0,0,0.000513472387553755,0,0,1.3666773850916e-06,0,0,0,0,0,0.000731886422912739,0,0,0,0,0,0,1.07723024218104e-05,0,0,0,0,0,0,0,0,0.000778894852615361,0,0,0,0,3.35642064365447e-05,0.00184318591747502,0,0,0,0,0,0,0,0.00149718715027973,3.53412414912317e-06,0,0,0,0,0,0,0,0,0.00625204155354765,0,0.00195869154725742,7.06679374807417e-06,0,0,2.50810979631992e-05,1.44202384310844e-05,0,0,7.65268692838021e-05,0.000121632945869319,0,0.00181204824895088,0.00041601907361172,0,0,0,0,0,0,0,0,0,7.26170547407676e-05,0,0,0,0,0,3.16807872419444e-05,2.31663636153207e-05,0.00121831686586774,0,0,0,0,0,0,0.0131000446008078,1.90923177731297e-05,0,0,0,0,7.56183167914501e-05,0,0,9.25912369716488e-06,0,0,1.73760896461838e-06,0,0,3.12832738163395e-06,0,0,0,0,0,0,0,0,0,0,0,1.39785716436957e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150395978276617,0,0.000451320246613789,0,0,0,0,0.00127916732034254,0.000762942951975708,0,0,0,0.00280997564925685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62203143367035e-07,0,0,0,0,0,0,0.0052915093643214,0,0,0,0,9.33478458759148e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672348420082701,0,0,2.55439949348785e-06,0,0,0,0,0.003624871209697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34049175214727e-07,0,0,0,0,1.62396157021195e-05,0.000900995902014987,0,0.00161439855772933,0,0,0,0,0,0,0,0,0,0,0.000391451808658969,0,1.9513052931073e-05,0,0.000247641759829035,0,0,0,0,0.000187981032355056
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens",0,0,0,0,0,0,0.000164206336584834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021956127191064,0,0,0,0,0,0,0,0,0.000126906492244632,0.000339382844219957,0,0,0,0,0,0,0,0,0.000199868013598453,0,0,0,0,0,0,0,3.42838684995613e-05,0,0,0,1.95636490010516e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000559711063148567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411760459474797,0,0,0,7.09897772684076e-06,0,5.01988907270783e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543522073876291,7.40205212679849e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126241737147827,7.8327315861467e-07,0,0,0,0,0,0,0,0,0.00502490843071412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019125567294642,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51704676873358e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110858937148364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis",0,6.03070862688337e-05,2.47059735476531e-05,3.60157026194832e-05,2.00534193109014e-05,0,5.09563908450327e-06,0,0,9.1054154091294e-05,0,0,0,0,1.14853843928937e-05,0,0,7.7714557045229e-05,1.7681387193103e-05,2.54591473540626e-05,0,0,1.1684763153778e-05,1.29105476924914e-05,0,0,4.68012773784239e-05,7.05732667604385e-05,1.64842784275357e-05,0,0,4.90460887477008e-05,0,0,0,7.04891867210621e-05,0,0,3.2664270463953e-06,7.12851531415573e-05,0,6.5790481126186e-06,0,0,0,0,0,0,0,0,4.08172377816974e-05,1.3720013632793e-05,0,0,1.12978635849607e-05,5.04552789809916e-06,0,8.19362641274258e-06,0,0.000190569954692663,0,0.000209813933973022,0.00386079367339393,0,3.42070240437058e-05,5.33178388923047e-06,2.64347609071157e-06,0,0,3.55303981655901e-06,3.30477856816562e-05,0,5.76019461058977e-05,2.00884371147178e-05,7.35115673683069e-05,6.27011275515793e-05,0,0.000177262507770777,0,0,2.17253290900756e-05,0,0,0.000213921067318755,3.3627470610322e-05,0,8.88571983707702e-06,0,0,0,0.000113984537837886,4.58728132319366e-06,0,0,0,0,0,3.72863127553299e-06,0,1.66197359165119e-05,3.46164428873087e-05,2.69243412142038e-06,0,0,0,1.30939516735054e-05,0,8.40057429356433e-06,0,2.07193794787719e-05,1.12518139923036e-05,8.69119080854396e-05,0,1.91688245812166e-05,0,4.02255326899963e-05,1.55576170640234e-05,0,0,2.00602624725147e-05,0,0,3.98551520821126e-05,0,0,7.13543609837591e-06,0,1.3759164877976e-05,0,2.34563825361703e-05,0.000124020499109325,3.79503850541126e-06,0,0,4.51425259772952e-06,0,0,0,0,0,0,1.86499472971009e-05,4.38853627776899e-05,0,0,0,0,0,5.13336805664296e-06,0,0,0,0,1.18435635545934e-05,0.00428340245322867,0,0,0,0,9.53576286430058e-06,0,0.00071711147038946,6.49968658421296e-06,0,0,0,0,4.09730318339675e-06,6.08074246597369e-05,0,0,0,0,0,0,0,0.000285769153701059,0,6.98753376780094e-06,0,0,4.8384927414506e-05,7.37619274264308e-06,0.000248512354609943,4.56757732095192e-06,0,0,0,0,0,6.88414635912599e-05,3.85128775176466e-06,0,0.00144929318050104,5.43888924637002e-05,0,0,0,0,0,0,2.05275630564044e-05,0,1.67051757761082e-05,0,6.78134685729238e-05,0,0,0,0,2.71699241001573e-05,0,0,0,0,7.05322196872506e-06,0.000117919988448086,7.03022572312001e-05,0,0,0,0,0,0,0.000138240378321047,2.60982147781404e-05,0,0,0.00250239582510756,4.2637693619214e-05,2.26665389784018e-05,0.000105388446143223,0.000113252175731832,0,0,0,0,0,0.000261265102638056,0,0,1.93456821135598e-05,0,0,0.000186121660068591,0,6.68987225842641e-06,0.000202870219069471,0,5.67093732427833e-06,0,0,0,2.60733090969984e-06,0,2.98562866145932e-06,0,8.18979729328376e-05,0,0,0,0,9.65027336757947e-05,1.21125143574958e-05,0,0,0.000322389868435583,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81080472759286e-06,0,0,0,0,0,0,0,0,0,0,8.10947199129191e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000730911318771988,0.000440462695358866,0,0,0,0,0,0,0,0,2.5174165081678e-07,0,0,0,4.18237785289002e-06,0,0,0,0,7.86775289214413e-05,0,7.0734363276869e-05,0,0,5.43536616360517e-05,0.000107478780293765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118944043926226,0,0.00476778295526088,0,0,0,3.67350990404706e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17980840123712e-05,0,0,1.235349729648e-05,0,0,9.52983783346115e-05,0,0,0,0,0,0,0,5.68799743748182e-05,0.00228659538993489,0,0,0,0.000303187242362834,0,0,2.46552232840464e-05,0,0,8.09354026205472e-05,0,0,0,0.000996833477437364,0,0,0,0,0,0,0,0.00079136770908478,0,0,0,0,0,0,0,0,0,0.000169718866465765,5.3649080425242e-06,0,5.55240561009021e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae",0,0,0,0,0,1.14038461351451e-05,0,0.00103134959241151,0,0,0,0,0,0,0,0,0,0,0,0,0.000187211387489445,0,0,0,0,0.000420119521701353,0,0,0,0,0,0,0,0,0,0,0,1.69448876094948e-05,0,0,0,0.00162297329036895,0,0.000571818674754336,0,0,0,0,0,0,0,0,0,0,9.24384654279363e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27300831101361e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166949751376747,0,0,0,0,0.000577175680225866,0,0,0,0,0,0,0,0,0,0.000418323470128089,0,0,0,0,0,0,3.24181548099422e-06,0,0,0,7.220316530306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151297026251223,0,0,0,3.525449897757e-05,0,0,0,0.00168101042235697,0,0,1.27231890718827e-06,0,0,0,0,0.00101208240005646,0,0,0,0,0,0,0,0,0,3.07307663256987e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368576411053424,5.92512280504539e-05,0,0,0,0,0,0,0,0,0,0.00114060995463234,0,0,0,0,0,0.000159154104670365,0,0.00102968400275814,8.77251310388495e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99540365067144e-06,0,0,0,0,0,0,0.0036812856181566,0.00109862456306925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4488635937435e-05,0.000411216852970688,0,0.000260168835249791,0,0,0,0,0,0,0.000980948733792291,0,0,0,0,0,0,0,3.26028436935361e-05,0,4.00171312642838e-05,6.55792504039234e-05,0,0,5.63259536197949e-06,0,0,0,0,0,0,0,0,0,0,0.00566042093984919,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734|s__GGB79734_SGB15291|t__SGB15291",0,0.000338535851241449,0,0,0,0,0.00263706038873918,0,0,0,0,0,0.00100909601299023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137359334277578,0.000996701632634556,0,0.000338308249398517,0,0.00337468067003795,0,0,0,0,0,0,0,0.00060274167889453,6.94623486669763e-06,0,0.00304267593073798,0,0,0,0,0,0.000792997034517238,0,0,0.000115800979731309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726917987342722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734",0,0.000338535851241449,0,0,0,0,0.00263706038873918,0,0,0,0,0,0.00100909601299023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137359334277578,0.000996701632634556,0,0.000338308249398517,0,0.00337468067003795,0,0,0,0,0,0,0,0.00060274167889453,6.94623486669763e-06,0,0.00304267593073798,0,0,0,0,0,0.000792997034517238,0,0,0.000115800979731309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726917987342722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734|s__GGB79734_SGB15291",0,0.000338535851241449,0,0,0,0,0.00263706038873918,0,0,0,0,0,0.00100909601299023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137359334277578,0.000996701632634556,0,0.000338308249398517,0,0.00337468067003795,0,0,0,0,0,0,0,0.00060274167889453,6.94623486669763e-06,0,0.00304267593073798,0,0,0,0,0,0.000792997034517238,0,0,0.000115800979731309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726917987342722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000414630070601375,0,0,0,0,9.08722996578559e-05,0,0,0,0,0,0,0,0,0,0,2.0230473930417e-05,0,0,0,0.00028068659178128,0,0.000101443788797398,0,3.3897535898489e-05,0,8.97274598468809e-05,0,0,0.000896111065254694,0,0,0,6.50222450910284e-07,0,0,0,0,0,0,0,0.000292161850885641,0,3.65281808153626e-05,0,0,0,0,0.000177774144034588,0,5.70785642721913e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368150587368887,0,0,0,0,0.00338262962016938,0,0,0,0,0,0,0,0,0,0,0,0,2.93757123949633e-05,0.000377767738005683,0.000246061500593769,0,0,0,0.00164232258661497,0,0,0,0,0,0,0,0,0,0,0.00406104143052821,0,0,0,0.000101450078642443,0,0,0,0,0,0,0,0.0012857337650223,0,0,0,0,0,0,0,0,0,0,1.12068628191104e-06,0,0,0,0,0,0,0,0,8.05878794391212e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85833099448782e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
